SiteID.Flow,SiteId.Eco,SiteId.QW,Date,Depth.M,Q.M3.S,BaseFlow.Frac,TSITE_NO,SHORT_NAME,region
5315295,5315295,5315295,20130722,0.258250996,NA,NA,T05315295,MN_Threemile,MSQA
5315295,5315295,5315295,20130729,0.198762785,NA,NA,T05315295,MN_Threemile,MSQA
5315295,5315295,5315295,20130805,0.199166138,NA,NA,T05315295,MN_Threemile,MSQA
531656290,531656290,531656290,20130506,0.590514801,NA,NA,T0531656290,MN_WBeaver,MSQA
531656290,531656290,531656290,20130513,0.532106002,NA,NA,T0531656290,MN_WBeaver,MSQA
531656290,531656290,531656290,20130520,0.580508418,NA,NA,T0531656290,MN_WBeaver,MSQA
531656290,531656290,531656290,20130603,0.643925389,NA,NA,T0531656290,MN_WBeaver,MSQA
531656290,531656290,531656290,20130610,0.756840283,NA,NA,T0531656290,MN_WBeaver,MSQA
531656290,531656290,531656290,20130624,1.556515285,NA,NA,T0531656290,MN_WBeaver,MSQA
531656290,531656290,531656290,20130630,1.129780226,NA,NA,T0531656290,MN_WBeaver,MSQA
531656290,531656290,531656290,20130708,0.634735763,NA,NA,T0531656290,MN_WBeaver,MSQA
531656290,531656290,531656290,20130716,0.566755937,NA,NA,T0531656290,MN_WBeaver,MSQA
531656290,531656290,531656290,20130721,0.562015761,NA,NA,T0531656290,MN_WBeaver,MSQA
531656290,531656290,531656290,20130729,0.590922321,NA,NA,T0531656290,MN_WBeaver,MSQA
531656290,531656290,531656290,20130805,NA,NA,NA,T0531656290,MN_WBeaver,MSQA
5325148,5325148,5325148,20130507,0.159001314,NA,NA,T05325148,MN_Sevenmile,MSQA
5325148,5325148,5325148,20130514,0.142047305,NA,NA,T05325148,MN_Sevenmile,MSQA
5325148,5325148,5325148,20130521,0.17175013,NA,NA,T05325148,MN_Sevenmile,MSQA
5325148,5325148,5325148,20130604,0.16588852,NA,NA,T05325148,MN_Sevenmile,MSQA
5325148,5325148,5325148,20130611,0.172236893,NA,NA,T05325148,MN_Sevenmile,MSQA
5325148,5325148,5325148,20130626,0.387800445,NA,NA,T05325148,MN_Sevenmile,MSQA
5325148,5325148,5325148,20130701,0.284394005,NA,NA,T05325148,MN_Sevenmile,MSQA
5325148,5325148,5325148,20130710,0.154048951,NA,NA,T05325148,MN_Sevenmile,MSQA
5325148,5325148,5325148,20130717,0.118558211,NA,NA,T05325148,MN_Sevenmile,MSQA
5325148,5325148,5325148,20130722,0.094371093,NA,NA,T05325148,MN_Sevenmile,MSQA
5325148,5325148,5325148,20130731,0.092767576,NA,NA,T05325148,MN_Sevenmile,MSQA
5325148,5325148,5325148,20130806,NA,NA,NA,T05325148,MN_Sevenmile,MSQA
5418180,5418180,5418180,20130506,0.351914512,NA,NA,T05418180,IA_Johns,MSQA
5418180,5418180,5418180,20130513,0.320849885,NA,NA,T05418180,IA_Johns,MSQA
5418180,5418180,5418180,20130520,0.309517205,NA,NA,T05418180,IA_Johns,MSQA
5418180,5418180,5418180,20130603,0.307623943,NA,NA,T05418180,IA_Johns,MSQA
5418180,5418180,5418180,20130610,0.309787566,NA,NA,T05418180,IA_Johns,MSQA
5418180,5418180,5418180,20130617,0.286439737,NA,NA,T05418180,IA_Johns,MSQA
5418180,5418180,5418180,20130624,0.334817666,NA,NA,T05418180,IA_Johns,MSQA
5418180,5418180,5418180,20130708,0.328111042,NA,NA,T05418180,IA_Johns,MSQA
5418180,5418180,5418180,20130715,0.280708417,NA,NA,T05418180,IA_Johns,MSQA
5418180,5418180,5418180,20130722,0.273869779,NA,NA,T05418180,IA_Johns,MSQA
5418180,5418180,5418180,20130729,0.268386539,NA,NA,T05418180,IA_Johns,MSQA
5418180,5418180,5418180,20130805,0.261241812,NA,NA,T05418180,IA_Johns,MSQA
5418400,5418400,5418400,20130506,0.753092616,17.16227698,0.431741233,T05418400,IA_Maquoketa,MSQA
5418400,5418400,5418400,20130513,0.619638974,12.77258567,0.635505934,T05418400,IA_Maquoketa,MSQA
5418400,5418400,5418400,20130520,0.507760012,9.544038516,0.833424476,T05418400,IA_Maquoketa,MSQA
5418400,5418400,5418400,20130603,0.616937202,12.46105919,0.67149607,T05418400,IA_Maquoketa,MSQA
5418400,5418400,5418400,20130610,0.56807747,11.24327386,0.778932945,T05418400,IA_Maquoketa,MSQA
5418400,5418400,5418400,20130617,0.488425942,8.977626735,0.932045018,T05418400,IA_Maquoketa,MSQA
5418400,5418400,5418400,20130624,1.088944469,29.17020674,0.279689166,T05418400,IA_Maquoketa,MSQA
5418400,5418400,5418400,20130708,0.603408502,11.97960918,0.765166212,T05418400,IA_Maquoketa,MSQA
5418400,5418400,5418400,20130715,0.56807747,10.6202209,0.907956169,T05418400,IA_Maquoketa,MSQA
5418400,5418400,5418400,20130722,0.505002259,9.005947324,1,T05418400,IA_Maquoketa,MSQA
5418400,5418400,5418400,20130729,0.446758811,7.561597281,1,T05418400,IA_Maquoketa,MSQA
5418400,5418400,5418400,20130805,0.413187813,7.165109034,1,T05418400,IA_Maquoketa,MSQA
5420520,5420520,5420520,20130509,0.597147981,NA,NA,T05420520,IA_Wapsipinicon,MSQA
5420520,5420520,5420520,20130516,0.350457874,NA,NA,T05420520,IA_Wapsipinicon,MSQA
5420520,5420520,5420520,20130523,0.732995599,NA,NA,T05420520,IA_Wapsipinicon,MSQA
5420520,5420520,5420520,20130530,1.343033176,NA,NA,T05420520,IA_Wapsipinicon,MSQA
5420520,5420520,5420520,20130613,0.994401741,NA,NA,T05420520,IA_Wapsipinicon,MSQA
5420520,5420520,5420520,20130627,0.676811119,NA,NA,T05420520,IA_Wapsipinicon,MSQA
5420520,5420520,5420520,20130702,0.42780195,NA,NA,T05420520,IA_Wapsipinicon,MSQA
5420520,5420520,5420520,20130711,0.220008153,NA,NA,T05420520,IA_Wapsipinicon,MSQA
5420520,5420520,5420520,20130718,0.169591572,NA,NA,T05420520,IA_Wapsipinicon,MSQA
5420520,5420520,5420520,20130723,0.187728422,NA,NA,T05420520,IA_Wapsipinicon,MSQA
5420520,5420520,5420520,20130801,0.147866092,NA,NA,T05420520,IA_Wapsipinicon,MSQA
5420520,5420520,5420520,20130807,0.220292397,NA,NA,T05420520,IA_Wapsipinicon,MSQA
5426400,5426400,5426400,20130507,0.473387496,NA,NA,T05426400,WI_Scuppernong,MSQA
