Study region	USGS station number	USGS station name	Short name	Chemical name	NWIS parameter code	CASRN	Pesticide degradate	Parent	Sample date (YYYYMMDD)	Result (ug/L)	Remark
MSQA	T411439087065601	HODGE DITCH STREAM AT CORD N400W NR WHEATFIELD, IN	IN_Hodge	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130711	5.0754	DET
MSQA	T05457520	Cedar River at Lancer Avenue at Osage, IA	IA_Cedar	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130711	13.2027	DET
MSQA	T05575550	CLEAR CREEK NEAR JEISYVILLE, IL	IL_Clear	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130711	7.5737	DET
MSQA	T391504093003301	Bear Creek nr Gilliam, MO	MO_Bear	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130711	22.8444	DET
MSQA	T05517000	YELLOW RIVER AT KNOX, IN	IN_Yellow	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130711	3.0813	DET
MSQA	T401849087161401	BIG PINE CR AT CO RD N125E NR WILLIAMSPORT, IN	IN_Pine	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130712	11.2978	DET
MSQA	T391601087414801	MILL CREEK NEAR CHOCTAW, IL	IL_Mill	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130712	67.0948	DET
MSQA	T03351072	WILLIAMS CREEK AT 96TH STREET, INDIANAPOLIS, IN	IN_Williams	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130715	13.6843	DET
MSQA	T05315295	THREEMILE CREEK AT 210TH AVE NEAR GHENT, MN	MN_Threemile	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130715	3.3759	DET
MSQA	T06800000	Maple Creek near Nickerson, Nebr.	NE_Maple	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130715	32.3072	DET
MSQA	T03353200	EAGLE CREEK AT ZIONSVILLE, IN	IN_Eagle	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130715	20.6852	DET
MSQA	T03352875	FALL CREEK AT 16TH STREET AT INDIANAPOLIS, IN	IN_Fall	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130715	20.9909	DET
MSQA	T435420096290500	PIPESTONE CREEK NR SD/MN STATE LINE	SD_Pipestone	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130716	6.5478	DET
MSQA	T040857005	OTTER CREEK AT WILLOW ROAD NEAR PLYMOUTH, WI	WI_Otter	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130715	1.5167	DET
MSQA	T040869416	LINCOLN CREEK @ SHERMAN BOULEVARD AT MILWAUKEE, WI	WI_Lincoln	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130715	0.6221	DET
MSQA	T040852508	TISCH MILLS CREEK AT TISCH MILLS, WI	WI_Tisch	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130715	7.5948	DET
MSQA	T05599100	GALUM CREEK NEAR PYATTS, IL	IL_Galum	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130715	108.9377	DET
MSQA	T0531656290	WEST FORK BEAVER CREEK AT 320 ST. NEAR BECHYN, MN	MN_WBeaver	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130716	5.464	DET
MSQA	T05320500	LE SUEUR RIVER NEAR RAPIDAN, MN	MN_LeSueur	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130716	22.0504	DET
MSQA	T05544989	HONEY CREEK AT CT HIGHWAY DD NEAR BURLINGTON, WI	WI_HoneyDD	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130716	4.8747	DET
MSQA	T03611100	MASSAC CREEK AT METROPOLIS, IL	IL_Massac	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130716	46.8912	DET
MSQA	T05592195	BECK CREEK AT HERRICK, IL	IL_Becks	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130716	20.7792	DET
MSQA	T385730088324401	LITTLE WABASH RIVER NEAR MASON, IL	IL_Wabash	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130716	69.3842	DET
MSQA	T391136090341101	COLE CREEK NEAR HARDIN, IL	IL_Cole	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130717	9.902	DET
MSQA	T420626089101201	STILLMAN CREEK AT STILLMAN VALLEY, IL	IL_Stillman	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130715	2.917	DET
MSQA	T411146082244001	Vermilion River at SR18 near Clarksfield, OH	OH_Vermilion	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130716	41.5486	DET
MSQA	T392158086035901	NINEVEH CR AT STONE ARCH RD NR NINEVEH, IN	IN_Nineveh	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130716	2.8328	DET
MSQA	T03271000	Wolf Creek at Dayton OH	OH_Wolf	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130716	6.9383	DET
MSQA	T390033085300301	OTTER CR AT N CORD 560E NR BUTLERVILLE, IN	IN_Otter1	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130716	75.7775	DET
MSQA	T391114085205801	OTTER CREEK AT W COUNTY RD 750N NR NAPOLEON, IN	IN_Otter2	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130716	35.6208	DET
MSQA	T05554300	INDIAN CREEK NEAR FAIRBURY, IL	IL_Indian	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130716	7.7563	DET
MSQA	T410133082465301	Unnamed Trib to Honey Creek near Willard, OH	OH_Honey	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130716	94.1956	DET
MSQA	T03241500	Massies Creek at Wilberforce OH	OH_Massies	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130716	11.4052	DET
MSQA	T394340085524601	SUGAR CREEK AT CO RD 400 S AT NEW PALESTINE, IN	IN_Sugar	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130716	7.2995	DET
MSQA	T404917088222701	NORTH FORK VERMILION RIVER NEAR WING	IL_NVermilion	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130716	7.1136	DET
MSQA	T412911089540101	GREEN RIVER NEAR HOOPPOLE, IL	IL_Green	Hydroxymetolachlor	68622	131068-72-9	Degradate	Metolachlor	20130716	3.5797	DET
